Date : 2023-04-20 20:24:32
Directory : q:\React项目合集(已做)\onresume
Total : 177 files,  41673 codes, 301 comments, 590 blanks, all 42564 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| q:\React项目合集(已做)\onresume\src\pages\resume-details\c-cpns\resume-tabPanel\c-cpns\basicInfoTab\index.jsx         | JavaScript JSX |        142 |          7 |          4 |        153 |
| q:\React项目合集(已做)\onresume\src\pages\resume-details\c-cpns\resume-tabPanel\c-cpns\basicInfoTab\style.js          | JavaScript     |         26 |          1 |          3 |         30 |
| q:\React项目合集(已做)\onresume\src\pages\resume-details\c-cpns\resume-tabPanel\c-cpns\campusExperienceTab\index.jsx  | JavaScript JSX |         49 |          0 |          2 |         51 |
| q:\React项目合集(已做)\onresume\src\pages\resume-details\c-cpns\resume-tabPanel\c-cpns\campusExperienceTab\style.js   | JavaScript     |          2 |          0 |          2 |          4 |
| q:\React项目合集(已做)\onresume\src\pages\resume-details\c-cpns\resume-tabPanel\c-cpns\certificateHonorTab\index.jsx  | JavaScript JSX |         11 |          0 |          2 |         13 |
| q:\React项目合集(已做)\onresume\src\pages\resume-details\c-cpns\resume-tabPanel\c-cpns\editor-inputs\index.jsx        | JavaScript JSX |         39 |          0 |          4 |         43 |
| q:\React项目合集(已做)\onresume\src\pages\resume-details\c-cpns\resume-tabPanel\c-cpns\editor-inputs\style.js         | JavaScript     |          4 |          0 |          2 |          6 |
| q:\React项目合集(已做)\onresume\src\pages\resume-details\c-cpns\resume-tabPanel\c-cpns\jobIntentTab\index.jsx         | JavaScript JSX |         37 |          1 |          5 |         43 |
| q:\React项目合集(已做)\onresume\src\pages\resume-details\c-cpns\resume-tabPanel\c-cpns\jobIntentTab\style.js          | JavaScript     |         15 |          0 |          2 |         17 |
| q:\React项目合集(已做)\onresume\src\pages\resume-details\c-cpns\resume-tabPanel\c-cpns\projectExperienceTab\index.jsx | JavaScript JSX |         49 |          0 |          2 |         51 |
| q:\React项目合集(已做)\onresume\src\pages\resume-details\c-cpns\resume-tabPanel\c-cpns\projectExperienceTab\style.js  | JavaScript     |          2 |          0 |          2 |          4 |
| q:\React项目合集(已做)\onresume\src\pages\resume-details\c-cpns\resume-tabPanel\c-cpns\selfEvaluationTab\index.jsx    | JavaScript JSX |         11 |          0 |          2 |         13 |
| q:\React项目合集(已做)\onresume\src\pages\resume-details\c-cpns\resume-tabPanel\c-cpns\skillSpecialtiesTab\index.jsx  | JavaScript JSX |         12 |          0 |          4 |         16 |
| q:\React项目合集(已做)\onresume\src\pages\resume-details\c-cpns\resume-tabPanel\c-cpns\tab-Editor\index copy.jsx      | JavaScript JSX |         42 |          1 |          2 |         45 |
| q:\React项目合集(已做)\onresume\src\pages\resume-details\c-cpns\resume-tabPanel\c-cpns\tab-Editor\index.jsx           | JavaScript JSX |         34 |          1 |          2 |         37 |
| q:\React项目合集(已做)\onresume\src\pages\resume-details\c-cpns\resume-tabPanel\c-cpns\tab-Editor\style.js            | JavaScript     |         20 |          0 |          2 |         22 |
| q:\React项目合集(已做)\onresume\src\pages\resume-details\c-cpns\resume-tabPanel\c-cpns\tab-date\index.css             | CSS            |          3 |          0 |          1 |          4 |
| q:\React项目合集(已做)\onresume\src\pages\resume-details\c-cpns\resume-tabPanel\c-cpns\tab-date\index.jsx             | JavaScript JSX |         16 |          0 |          3 |         19 |
| q:\React项目合集(已做)\onresume\src\pages\resume-details\c-cpns\resume-tabPanel\c-cpns\tab-input\index.jsx            | JavaScript JSX |         38 |          1 |          2 |         41 |
| q:\React项目合集(已做)\onresume\src\pages\resume-details\c-cpns\resume-tabPanel\c-cpns\workExperienceTab\index.css    | CSS            |          7 |          0 |          1 |          8 |
| q:\React项目合集(已做)\onresume\src\pages\resume-details\c-cpns\resume-tabPanel\c-cpns\workExperienceTab\index.jsx    | JavaScript JSX |         28 |          0 |          3 |         31 |
| q:\React项目合集(已做)\onresume\src\pages\resume-details\c-cpns\resume-tabPanel\index.jsx                             | JavaScript JSX |         27 |          0 |          4 |         31 |
| q:\React项目合集(已做)\onresume\src\pages\resume-details\index.jsx                                                    | JavaScript JSX |         17 |          0 |          2 |         19 |
| q:\React项目合集(已做)\onresume\src\pages\resume-details\style.js                                                     | JavaScript     |          4 |          3 |          2 |          9 |
| q:\React项目合集(已做)\onresume\src\pages\resume-service\c-cpns\s-banner\index.jsx                                    | JavaScript JSX |         25 |          0 |          5 |         30 |
| q:\React项目合集(已做)\onresume\src\pages\resume-service\c-cpns\s-banner\style.js                                     | JavaScript     |         40 |          0 |          3 |         43 |
| q:\React项目合集(已做)\onresume\src\pages\resume-service\c-cpns\s-case\index.jsx                                      | JavaScript JSX |         45 |          0 |          3 |         48 |
| q:\React项目合集(已做)\onresume\src\pages\resume-service\c-cpns\s-case\style.js                                       | JavaScript     |         46 |          0 |          3 |         49 |
| q:\React项目合集(已做)\onresume\src\pages\resume-service\c-cpns\s-optimize\index.jsx                                  | JavaScript JSX |         55 |          0 |          2 |         57 |
| q:\React项目合集(已做)\onresume\src\pages\resume-service\c-cpns\s-optimize\style.js                                   | JavaScript     |         29 |          0 |          2 |         31 |
| q:\React项目合集(已做)\onresume\src\pages\resume-service\c-cpns\s-order\c-cpns\order-card\index.jsx                   | JavaScript JSX |         75 |          1 |          4 |         80 |
| q:\React项目合集(已做)\onresume\src\pages\resume-service\c-cpns\s-order\c-cpns\order-card\style.js                    | JavaScript     |         62 |          0 |         11 |         73 |
| q:\React项目合集(已做)\onresume\src\pages\resume-service\c-cpns\s-order\c-cpns\order-payCard\index.jsx                | JavaScript JSX |        139 |          6 |          9 |        154 |
| q:\React项目合集(已做)\onresume\src\pages\resume-service\c-cpns\s-order\c-cpns\order-payCard\style.js                 | JavaScript     |         56 |          5 |         10 |         71 |
| q:\React项目合集(已做)\onresume\src\pages\resume-service\c-cpns\s-order\c-cpns\order-steps\index.jsx                  | JavaScript JSX |        237 |          7 |          9 |        253 |
| q:\React项目合集(已做)\onresume\src\pages\resume-service\c-cpns\s-order\c-cpns\order-steps\style.js                   | JavaScript     |          9 |          0 |          2 |         11 |
| q:\React项目合集(已做)\onresume\src\pages\resume-service\c-cpns\s-order\index.jsx                                     | JavaScript JSX |         54 |          0 |          4 |         58 |
| q:\React项目合集(已做)\onresume\src\pages\resume-service\c-cpns\s-step\index.jsx                                      | JavaScript JSX |         61 |          0 |          4 |         65 |
| q:\React项目合集(已做)\onresume\src\pages\resume-service\c-cpns\s-step\style.js                                       | JavaScript     |         98 |          0 |          3 |        101 |
| q:\React项目合集(已做)\onresume\src\pages\resume-service\c-cpns\s-team\index.jsx                                      | JavaScript JSX |         37 |          0 |          3 |         40 |
| q:\React项目合集(已做)\onresume\src\pages\resume-service\c-cpns\s-team\style.js                                       | JavaScript     |         17 |          0 |          2 |         19 |
| q:\React项目合集(已做)\onresume\src\pages\resume-service\index.jsx                                                    | JavaScript JSX |         23 |          1 |          2 |         26 |
| q:\React项目合集(已做)\onresume\src\pages\resume-service\style.js                                                     | JavaScript     |          2 |          0 |          2 |          4 |
| q:\React项目合集(已做)\onresume\src\pages\teacher\index.jsx                                                           | JavaScript JSX |        117 |         14 |          2 |        133 |
| q:\React项目合集(已做)\onresume\src\pages\teacher\style.js                                                            | JavaScript     |          8 |          2 |          1 |         11 |
| q:\React项目合集(已做)\onresume\src\pages\template-list\index.jsx                                                     | JavaScript JSX |        168 |          0 |          5 |        173 |
| q:\React项目合集(已做)\onresume\src\pages\template-list\style.js                                                      | JavaScript     |         12 |          1 |          2 |         15 |
| q:\React项目合集(已做)\onresume\src\routers\index.js                                                                  | JavaScript     |         82 |          8 |          1 |         91 |
| q:\React项目合集(已做)\onresume\src\services\index.js                                                                 | JavaScript     |          3 |          0 |          1 |          4 |
| q:\React项目合集(已做)\onresume\src\services\modules\login.js                                                         | JavaScript     |         81 |          8 |          3 |         92 |
| q:\React项目合集(已做)\onresume\src\services\modules\order.js                                                         | JavaScript     |         39 |          5 |          1 |         45 |
| q:\React项目合集(已做)\onresume\src\services\modules\resume.js                                                        | JavaScript     |         23 |          2 |          1 |         26 |
| q:\React项目合集(已做)\onresume\src\services\request\config.js                                                        | JavaScript     |          3 |          0 |          1 |          4 |
| q:\React项目合集(已做)\onresume\src\services\request\index.js                                                         | JavaScript     |         90 |          6 |          1 |         97 |
| q:\React项目合集(已做)\onresume\src\setupProxy.js                                                                     | JavaScript     |         18 |          0 |          2 |         20 |
| q:\React项目合集(已做)\onresume\src\store\index.js                                                                    | JavaScript     |         14 |          0 |          1 |         15 |
| q:\React项目合集(已做)\onresume\src\store\modules\editResume.js                                                       | JavaScript     |         20 |          1 |          1 |         22 |
| q:\React项目合集(已做)\onresume\src\store\modules\login.js                                                            | JavaScript     |         38 |          2 |          1 |         41 |
| q:\React项目合集(已做)\onresume\src\store\modules\order.js                                                            | JavaScript     |         32 |          0 |          1 |         33 |
| q:\React项目合集(已做)\onresume\src\store\modules\resumeInfo.js                                                       | JavaScript     |        175 |          4 |          1 |        180 |
| q:\React项目合集(已做)\onresume\src\store\modules\service.js                                                          | JavaScript     |         14 |          0 |          1 |         15 |
| q:\React项目合集(已做)\onresume\src\utils\auth.js                                                                     | JavaScript     |         11 |          3 |          3 |         17 |
| q:\React项目合集(已做)\onresume\src\utils\exportPDF.js                                                                | JavaScript     |         51 |         17 |          6 |         74 |
| Total                                                                                                           |                |     41,673 |        301 |        590 |     42,564 |
+-----------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
