"filename", "language", "JavaScript", "JSON", "Markdown", "CSS", "JavaScript JSX", "HTML", "comment", "blank", "total"
"q:\React项目合集(已做)\onresume\src\components\resume-info\c-cpns\skillSpecialties\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 19, 0, 0, 3, 22
"q:\React项目合集(已做)\onresume\src\components\resume-info\c-cpns\skillSpecialties\style.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 2, 28
"q:\React项目合集(已做)\onresume\src\components\resume-info\c-cpns\user-info\c-cpns\Avatar\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 72, 0, 2, 2, 76
"q:\React项目合集(已做)\onresume\src\components\resume-info\c-cpns\user-info\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 37, 0, 2, 3, 42
"q:\React项目合集(已做)\onresume\src\components\resume-info\c-cpns\user-info\style.js", "JavaScript", 126, 0, 0, 0, 0, 0, 0, 3, 129
"q:\React项目合集(已做)\onresume\src\components\resume-info\c-cpns\work-expe\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 17, 0, 0, 3, 20
"q:\React项目合集(已做)\onresume\src\components\resume-info\c-cpns\work-expe\style.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 2, 4
"q:\React项目合集(已做)\onresume\src\components\resume-message\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 29, 0, 1, 4, 34
"q:\React项目合集(已做)\onresume\src\components\resume-team\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 94, 0, 1, 3, 98
"q:\React项目合集(已做)\onresume\src\components\resume-team\style.js", "JavaScript", 80, 0, 0, 0, 0, 0, 0, 10, 90
"q:\React项目合集(已做)\onresume\src\components\resumeImg-item\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 7, 0, 0, 4, 11
"q:\React项目合集(已做)\onresume\src\components\resumeImg-item\style.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 3, 6
"q:\React项目合集(已做)\onresume\src\components\serviceSetion\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 68, 0, 2, 3, 73
"q:\React项目合集(已做)\onresume\src\components\serviceSetion\style.js", "JavaScript", 232, 0, 0, 0, 0, 0, 0, 4, 236
"q:\React项目合集(已做)\onresume\src\hooks\useOrder.jsx", "JavaScript JSX", 0, 0, 0, 0, 9, 0, 0, 1, 10
"q:\React项目合集(已做)\onresume\src\hooks\useSetTime.jsx", "JavaScript JSX", 0, 0, 0, 0, 9, 0, 0, 1, 10
"q:\React项目合集(已做)\onresume\src\index.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 2, 25
"q:\React项目合集(已做)\onresume\src\pages\home\c-cpns\home-banner\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 21, 0, 1, 4, 26
"q:\React项目合集(已做)\onresume\src\pages\home\c-cpns\home-banner\style.js", "JavaScript", 43, 0, 0, 0, 0, 0, 1, 3, 47
"q:\React项目合集(已做)\onresume\src\pages\home\c-cpns\home-charact\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 17, 0, 0, 4, 21
"q:\React项目合集(已做)\onresume\src\pages\home\c-cpns\home-charact\style.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 2, 37
"q:\React项目合集(已做)\onresume\src\pages\home\c-cpns\home-hotTemplate\c-cpns\hot-resume\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 49, 0, 0, 3, 52
"q:\React项目合集(已做)\onresume\src\pages\home\c-cpns\home-hotTemplate\c-cpns\hot-resume\style.js", "JavaScript", 51, 0, 0, 0, 0, 0, 10, 3, 64
"q:\React项目合集(已做)\onresume\src\pages\home\c-cpns\home-hotTemplate\c-cpns\hot-title\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 14, 0, 0, 4, 18
"q:\React项目合集(已做)\onresume\src\pages\home\c-cpns\home-hotTemplate\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 40, 0, 1, 4, 45
"q:\React项目合集(已做)\onresume\src\pages\home\c-cpns\home-hotTemplate\style.js", "JavaScript", 113, 0, 0, 0, 0, 0, 1, 16, 130
"q:\React项目合集(已做)\onresume\src\pages\home\c-cpns\home-resumeImg\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 12, 0, 0, 3, 15
"q:\React项目合集(已做)\onresume\src\pages\home\c-cpns\home-service\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 18, 0, 0, 2, 20
"q:\React项目合集(已做)\onresume\src\pages\home\c-cpns\home-service\style.js", "JavaScript", 6, 0, 0, 0, 0, 0, 6, 2, 14
"q:\React项目合集(已做)\onresume\src\pages\home\c-cpns\home-slide\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 28, 0, 0, 2, 30
"q:\React项目合集(已做)\onresume\src\pages\home\c-cpns\home-slide\style.js", "JavaScript", 16, 0, 0, 0, 0, 0, 3, 2, 21
"q:\React项目合集(已做)\onresume\src\pages\home\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 87, 0, 1, 3, 91
"q:\React项目合集(已做)\onresume\src\pages\home\style.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 2, 21
"q:\React项目合集(已做)\onresume\src\pages\login\c-cpns\forget-pwd\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 46, 0, 0, 4, 50
"q:\React项目合集(已做)\onresume\src\pages\login\c-cpns\forget-pwd\style.js", "JavaScript", 63, 0, 0, 0, 0, 0, 0, 1, 64
"q:\React项目合集(已做)\onresume\src\pages\login\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 17, 0, 1, 2, 20
"q:\React项目合集(已做)\onresume\src\pages\login\style.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 1, 7
"q:\React项目合集(已做)\onresume\src\pages\my\c-cpns\my-info\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 54, 0, 1, 2, 57
"q:\React项目合集(已做)\onresume\src\pages\my\c-cpns\my-info\style.js", "JavaScript", 28, 0, 0, 0, 0, 0, 3, 2, 33
"q:\React项目合集(已做)\onresume\src\pages\my\c-cpns\my-order\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 218, 0, 11, 6, 235
"q:\React项目合集(已做)\onresume\src\pages\my\c-cpns\my-resume\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 123, 0, 1, 2, 126
"q:\React项目合集(已做)\onresume\src\pages\my\c-cpns\my-resume\style.js", "JavaScript", 64, 0, 0, 0, 0, 0, 0, 3, 67
"q:\React项目合集(已做)\onresume\src\pages\my\c-cpns\popularize\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 7, 0, 0, 2, 9
"q:\React项目合集(已做)\onresume\src\pages\my\c-cpns\upload-template\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 5, 0, 0, 3, 8
"q:\React项目合集(已做)\onresume\src\pages\my\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 18, 0, 0, 3, 21
"q:\React项目合集(已做)\onresume\src\pages\my\style.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 2, 8
"q:\React项目合集(已做)\onresume\src\pages\register\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 11, 0, 0, 2, 13
"q:\React项目合集(已做)\onresume\src\pages\register\style.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 2, 5
"q:\React项目合集(已做)\onresume\src\pages\resume-bottomTab\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 132, 0, 16, 7, 155
"q:\React项目合集(已做)\onresume\src\pages\resume-bottomTab\style.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 2, 28
"q:\React项目合集(已做)\onresume\src\pages\resume-details\c-cpns\drawer-tabs\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 106, 0, 2, 5, 113
"q:\React项目合集(已做)\onresume\src\pages\resume-details\c-cpns\resume-helpOpt\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 47, 0, 1, 2, 50
"q:\React项目合集(已做)\onresume\src\pages\resume-details\c-cpns\resume-helpOpt\style.js", "JavaScript", 102, 0, 0, 0, 0, 0, 0, 12, 114
"q:\React项目合集(已做)\onresume\src\pages\resume-details\c-cpns\resume-helper\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 21, 0, 1, 4, 26
"q:\React项目合集(已做)\onresume\src\pages\resume-details\c-cpns\resume-helper\style.js", "JavaScript", 60, 0, 0, 0, 0, 0, 0, 8, 68
"q:\React项目合集(已做)\onresume\src\pages\resume-details\c-cpns\resume-main\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 51, 0, 5, 3, 59
"q:\React项目合集(已做)\onresume\src\pages\resume-details\c-cpns\resume-main\style.js", "JavaScript", 56, 0, 0, 0, 0, 0, 4, 7, 67
"q:\React项目合集(已做)\onresume\src\pages\resume-details\c-cpns\resume-tabPanel\c-cpns\basicInfoTab\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 144, 0, 7, 4, 155
"q:\React项目合集(已做)\onresume\src\pages\resume-details\c-cpns\resume-tabPanel\c-cpns\basicInfoTab\style.js", "JavaScript", 26, 0, 0, 0, 0, 0, 1, 2, 29
"q:\React项目合集(已做)\onresume\src\pages\resume-details\c-cpns\resume-tabPanel\c-cpns\campusExperienceTab\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 49, 0, 0, 2, 51
"q:\React项目合集(已做)\onresume\src\pages\resume-details\c-cpns\resume-tabPanel\c-cpns\campusExperienceTab\style.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 2, 4
"q:\React项目合集(已做)\onresume\src\pages\resume-details\c-cpns\resume-tabPanel\c-cpns\certificateHonorTab\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 11, 0, 0, 3, 14
"q:\React项目合集(已做)\onresume\src\pages\resume-details\c-cpns\resume-tabPanel\c-cpns\editor-inputs\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 40, 0, 0, 5, 45
"q:\React项目合集(已做)\onresume\src\pages\resume-details\c-cpns\resume-tabPanel\c-cpns\editor-inputs\style.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 2, 6
"q:\React项目合集(已做)\onresume\src\pages\resume-details\c-cpns\resume-tabPanel\c-cpns\jobIntentTab\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 37, 0, 1, 5, 43
"q:\React项目合集(已做)\onresume\src\pages\resume-details\c-cpns\resume-tabPanel\c-cpns\jobIntentTab\style.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 2, 17
"q:\React项目合集(已做)\onresume\src\pages\resume-details\c-cpns\resume-tabPanel\c-cpns\projectExperienceTab\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 49, 0, 0, 2, 51
"q:\React项目合集(已做)\onresume\src\pages\resume-details\c-cpns\resume-tabPanel\c-cpns\projectExperienceTab\style.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 1, 3
"q:\React项目合集(已做)\onresume\src\pages\resume-details\c-cpns\resume-tabPanel\c-cpns\selfEvaluationTab\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 11, 0, 0, 2, 13
"q:\React项目合集(已做)\onresume\src\pages\resume-details\c-cpns\resume-tabPanel\c-cpns\skillSpecialtiesTab\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 12, 0, 0, 4, 16
"q:\React项目合集(已做)\onresume\src\pages\resume-details\c-cpns\resume-tabPanel\c-cpns\tab-Editor\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 41, 0, 1, 2, 44
"q:\React项目合集(已做)\onresume\src\pages\resume-details\c-cpns\resume-tabPanel\c-cpns\tab-Editor\style.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 2, 22
"q:\React项目合集(已做)\onresume\src\pages\resume-details\c-cpns\resume-tabPanel\c-cpns\tab-date\index.css", "CSS", 0, 0, 0, 3, 0, 0, 0, 0, 3
"q:\React项目合集(已做)\onresume\src\pages\resume-details\c-cpns\resume-tabPanel\c-cpns\tab-date\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 13, 0, 0, 2, 15
"q:\React项目合集(已做)\onresume\src\pages\resume-details\c-cpns\resume-tabPanel\c-cpns\tab-input\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 38, 0, 1, 2, 41
"q:\React项目合集(已做)\onresume\src\pages\resume-details\c-cpns\resume-tabPanel\c-cpns\workExperienceTab\index.css", "CSS", 0, 0, 0, 7, 0, 0, 0, 1, 8
"q:\React项目合集(已做)\onresume\src\pages\resume-details\c-cpns\resume-tabPanel\c-cpns\workExperienceTab\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 28, 0, 0, 3, 31
"q:\React项目合集(已做)\onresume\src\pages\resume-details\c-cpns\resume-tabPanel\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 27, 0, 0, 3, 30
"q:\React项目合集(已做)\onresume\src\pages\resume-details\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 17, 0, 0, 2, 19
"q:\React项目合集(已做)\onresume\src\pages\resume-details\style.js", "JavaScript", 4, 0, 0, 0, 0, 0, 3, 2, 9
"q:\React项目合集(已做)\onresume\src\pages\resume-service\c-cpns\s-banner\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 25, 0, 0, 5, 30
"q:\React项目合集(已做)\onresume\src\pages\resume-service\c-cpns\s-banner\style.js", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 3, 43
"q:\React项目合集(已做)\onresume\src\pages\resume-service\c-cpns\s-case\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 45, 0, 0, 3, 48
"q:\React项目合集(已做)\onresume\src\pages\resume-service\c-cpns\s-case\style.js", "JavaScript", 46, 0, 0, 0, 0, 0, 0, 3, 49
"q:\React项目合集(已做)\onresume\src\pages\resume-service\c-cpns\s-optimize\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 55, 0, 0, 2, 57
"q:\React项目合集(已做)\onresume\src\pages\resume-service\c-cpns\s-optimize\style.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 2, 31
"q:\React项目合集(已做)\onresume\src\pages\resume-service\c-cpns\s-order\c-cpns\order-card\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 75, 0, 1, 4, 80
"q:\React项目合集(已做)\onresume\src\pages\resume-service\c-cpns\s-order\c-cpns\order-card\style.js", "JavaScript", 62, 0, 0, 0, 0, 0, 0, 11, 73
"q:\React项目合集(已做)\onresume\src\pages\resume-service\c-cpns\s-order\c-cpns\order-payCard\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 120, 0, 4, 8, 132
"q:\React项目合集(已做)\onresume\src\pages\resume-service\c-cpns\s-order\c-cpns\order-payCard\style.js", "JavaScript", 56, 0, 0, 0, 0, 0, 5, 10, 71
"q:\React项目合集(已做)\onresume\src\pages\resume-service\c-cpns\s-order\c-cpns\order-steps\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 234, 0, 7, 10, 251
"q:\React项目合集(已做)\onresume\src\pages\resume-service\c-cpns\s-order\c-cpns\order-steps\style.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 2, 11
"q:\React项目合集(已做)\onresume\src\pages\resume-service\c-cpns\s-order\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 54, 0, 0, 4, 58
"q:\React项目合集(已做)\onresume\src\pages\resume-service\c-cpns\s-step\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 61, 0, 0, 4, 65
"q:\React项目合集(已做)\onresume\src\pages\resume-service\c-cpns\s-step\style.js", "JavaScript", 98, 0, 0, 0, 0, 0, 0, 3, 101
"q:\React项目合集(已做)\onresume\src\pages\resume-service\c-cpns\s-team\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 37, 0, 0, 3, 40
"q:\React项目合集(已做)\onresume\src\pages\resume-service\c-cpns\s-team\style.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 3, 20
"q:\React项目合集(已做)\onresume\src\pages\resume-service\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 21, 0, 0, 2, 23
"q:\React项目合集(已做)\onresume\src\pages\resume-service\style.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 2, 5
"q:\React项目合集(已做)\onresume\src\pages\template-list\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 122, 0, 0, 4, 126
"q:\React项目合集(已做)\onresume\src\pages\template-list\style.js", "JavaScript", 12, 0, 0, 0, 0, 0, 1, 2, 15
"q:\React项目合集(已做)\onresume\src\routers\index.js", "JavaScript", 75, 0, 0, 0, 0, 0, 8, 1, 84
"q:\React项目合集(已做)\onresume\src\services\index.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 3
"q:\React项目合集(已做)\onresume\src\services\modules\login.js", "JavaScript", 56, 0, 0, 0, 0, 0, 5, 4, 65
"q:\React项目合集(已做)\onresume\src\services\modules\order.js", "JavaScript", 33, 0, 0, 0, 0, 0, 4, 1, 38
"q:\React项目合集(已做)\onresume\src\services\modules\resume.js", "JavaScript", 23, 0, 0, 0, 0, 0, 2, 1, 26
"q:\React项目合集(已做)\onresume\src\services\request\config.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 1, 4
"q:\React项目合集(已做)\onresume\src\services\request\index.js", "JavaScript", 57, 0, 0, 0, 0, 0, 3, 3, 63
"q:\React项目合集(已做)\onresume\src\store\index.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 1, 17
"q:\React项目合集(已做)\onresume\src\store\modules\code.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 22
"q:\React项目合集(已做)\onresume\src\store\modules\editResume.js", "JavaScript", 21, 0, 0, 0, 0, 0, 1, 1, 23
"q:\React项目合集(已做)\onresume\src\store\modules\login.js", "JavaScript", 14, 0, 0, 0, 0, 0, 6, 0, 20
"q:\React项目合集(已做)\onresume\src\store\modules\order.js", "JavaScript", 32, 0, 0, 0, 0, 0, 1, 1, 34
"q:\React项目合集(已做)\onresume\src\store\modules\register.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"q:\React项目合集(已做)\onresume\src\store\modules\resumeInfo.js", "JavaScript", 170, 0, 0, 0, 0, 0, 7, 1, 178
"q:\React项目合集(已做)\onresume\src\store\modules\service.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 1, 15
"q:\React项目合集(已做)\onresume\src\utils\auth.js", "JavaScript", 13, 0, 0, 0, 0, 0, 3, 2, 18
"q:\React项目合集(已做)\onresume\src\utils\exportPDF.js", "JavaScript", 51, 0, 0, 0, 0, 0, 15, 5, 71
"q:\React项目合集(已做)\onresume\src\utils\setResumeTime.js", "JavaScript", 0, 0, 0, 0, 0, 0, 8, 1, 9
"Total", "-", 3091, 32336, 20, 40, 3870, 19, 252, 503, 40131
